decade,year,result,director,movie,director url
Década de 1980,1981,Ganador,Robert Redford,Gente corriente,https://www.imdb.com/es-es/name/nm0000602/
Década de 1980,1981,Nominee,David Lynch,El hombre elefante,https://www.imdb.com/es-es/name/nm0000186/
Década de 1980,1981,Nominee,Roman Polanski,Tess,https://www.imdb.com/es-es/name/nm0000591/
Década de 1980,1981,Nominee,Richard Rush,Profesión: El especialista,https://www.imdb.com/es-es/name/nm0750701/
Década de 1980,1981,Nominee,Martin Scorsese,Toro salvaje,https://www.imdb.com/es-es/name/nm0000217/
Década de 1980,1980,Ganador,Robert Benton,Kramer contra Kramer,https://www.imdb.com/es-es/name/nm0000914/
Década de 1980,1980,Nominee,Francis Ford Coppola,Apocalypse Now,https://www.imdb.com/es-es/name/nm0000338/
Década de 1980,1980,Nominee,Bob Fosse,Empieza el espectáculo,https://www.imdb.com/es-es/name/nm0002080/
Década de 1980,1980,Nominee,Édouard Molinaro,Vicios pequeños,https://www.imdb.com/es-es/name/nm0596850/
Década de 1980,1980,Nominee,Peter Yates,El relevo,https://www.imdb.com/es-es/name/nm0946811/
